timestamp,detection_id,attack_type,link_id,detection_rate,latency_ms,false_positive_rate,dc_confidence,lba_score,mhv_confidence,tm_decision,modules_involved,evidence,action_taken,run_id,correlated_event_id,decoy_link_hit,detection_source
2026-01-17T21:43:04.968686,det_00001,link_forgery,00:00:00:00:00:01:1-00:00:00:00:00:0c:42,100,14.8,2.1,1,0.2,0,0.86,DC,Behavioral anomaly detected: link_forgery,alert_only,1,attack_000001,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:43:16.783290,det_00002,link_forgery,00:00:00:00:00:14:24-00:00:00:00:00:0c:33,100,17.4,2,1,0.2,0,0.93,DC,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000002,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:43:18.371767,det_00003,link_forgery,00:00:00:00:00:05:63-00:00:00:00:00:13:52,100,4.3,1.5,1,0.2,0,0.96,DC,Decoy link hit detected from 00:00:00:00:00:05 to 00:00:00:00:00:13,immediate_quarantine,1,attack_000003,YES,DECOY_LINK_HIT
2026-01-17T21:43:37.307061,det_00004,link_forgery,00:00:00:00:00:0b:11-00:00:00:00:00:04:17,100,19.1,1.8,0.97,0.2,0,0.95,DC,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000004,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:43:46.468048,det_00005,link_forgery,00:00:00:00:00:13:36-00:00:00:00:00:09:20,100,14.4,1.7,0.99,0.2,0,0.92,DC,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000005,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:43:37.647448,det_00006,link_forgery,00:00:00:00:00:01:38-00:00:00:00:00:0d:1,100,17.1,1.7,0.98,0.2,0,0.86,DC,Behavioral anomaly detected: link_forgery,rate_limit,1,attack_000006,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:43:51.565108,det_00007,link_forgery,00:00:00:00:00:04:12-00:00:00:00:00:03:27,100,10,1.7,1.03,0.2,0,0.91,DC,Behavioral anomaly detected: link_forgery,quarantine_link,1,attack_000007,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:44:03.644348,det_00008,link_forgery,00:00:00:00:00:11:51-00:00:00:00:00:03:53,100,5.3,2,1,0.2,0,0.92,DC,Decoy link hit detected from 00:00:00:00:00:11 to 00:00:00:00:00:03,immediate_quarantine,1,attack_000008,YES,DECOY_LINK_HIT
2026-01-17T21:43:49.015290,det_00009,link_forgery,00:00:00:00:00:11:29-00:00:00:00:00:14:18,100,10,1.7,0.93,0.2,0,0.87,DC,Behavioral anomaly detected: link_forgery,rate_limit,1,attack_000009,NO,BEHAVIORAL_ANALYSIS
2026-01-17T21:44:00.976019,det_00010,link_forgery,00:00:00:00:00:11:45-00:00:00:00:00:02:35,100,11,1.9,0.87,0.2,0,0.96,DC,Behavioral anomaly detected: link_forgery,rate_limit,1,attack_000010,NO,BEHAVIORAL_ANALYSIS
