timestamp,link_id,state,confidence_score,behavior_score,validation_score,reason,decision,detection_source
2026-01-17T21:42:55.047738,00:00:00:00:00:05:25-00:00:00:00:00:03:29,active,0.860,0.763,0.813,initial_discovery,accept,NORMAL
2026-01-17T21:43:25.047738,00:00:00:00:00:04:6-00:00:00:00:00:05:11,active,0.961,0.757,0.856,initial_discovery,accept,NORMAL
2026-01-17T21:43:55.047738,00:00:00:00:00:09:27-00:00:00:00:00:0b:41,active,0.878,0.824,0.945,initial_discovery,accept,NORMAL
2026-01-17T21:44:25.047738,00:00:00:00:00:04:19-00:00:00:00:00:08:25,active,0.841,0.831,0.939,initial_discovery,accept,NORMAL
2026-01-17T21:44:55.047738,00:00:00:00:00:05:37-00:00:00:00:00:06:1,active,0.870,0.745,0.978,initial_discovery,accept,NORMAL
2026-01-17T21:45:25.047738,00:00:00:00:00:0f:37-00:00:00:00:00:0a:47,active,0.948,0.861,0.950,initial_discovery,accept,NORMAL
2026-01-17T21:45:55.047738,00:00:00:00:00:02:21-00:00:00:00:00:12:13,active,0.891,0.792,0.834,initial_discovery,accept,NORMAL
2026-01-17T21:46:25.047738,00:00:00:00:00:0c:44-00:00:00:00:00:0e:22,active,0.983,0.825,0.782,initial_discovery,accept,NORMAL
2026-01-17T21:46:55.047738,00:00:00:00:00:01:48-00:00:00:00:00:04:6,active,0.877,0.941,0.951,initial_discovery,accept,NORMAL
2026-01-17T21:47:25.047738,00:00:00:00:00:0f:23-00:00:00:00:00:12:27,active,0.964,0.768,0.859,initial_discovery,accept,NORMAL
2026-01-17T21:47:55.047738,00:00:00:00:00:0c:27-00:00:00:00:00:12:34,active,0.825,0.743,0.778,initial_discovery,accept,NORMAL
2026-01-17T21:48:25.047738,00:00:00:00:00:01:9-00:00:00:00:00:09:24,active,0.885,0.752,0.773,initial_discovery,accept,NORMAL
2026-01-17T21:48:55.047738,00:00:00:00:00:03:20-00:00:00:00:00:10:45,active,0.920,0.704,0.911,initial_discovery,accept,NORMAL
2026-01-17T21:49:25.047738,00:00:00:00:00:01:14-00:00:00:00:00:02:18,active,0.997,0.931,0.966,initial_discovery,accept,NORMAL
2026-01-17T21:49:55.047738,00:00:00:00:00:07:1-00:00:00:00:00:06:39,active,0.803,0.715,0.770,initial_discovery,accept,NORMAL
2026-01-17T21:50:25.047738,00:00:00:00:00:06:19-00:00:00:00:00:0b:45,active,0.965,0.869,0.817,initial_discovery,accept,NORMAL
2026-01-17T21:50:55.047738,00:00:00:00:00:0f:11-00:00:00:00:00:0d:13,active,0.960,0.717,0.904,initial_discovery,accept,NORMAL
2026-01-17T21:51:25.047738,00:00:00:00:00:01:33-00:00:00:00:00:04:30,active,0.918,0.871,0.880,initial_discovery,accept,NORMAL
2026-01-17T21:51:55.047738,00:00:00:00:00:11:34-00:00:00:00:00:0b:18,active,0.872,0.769,0.790,initial_discovery,accept,NORMAL
2026-01-17T21:52:25.047738,00:00:00:00:00:10:38-00:00:00:00:00:0c:33,active,0.821,0.850,0.879,initial_discovery,accept,NORMAL
2026-01-17T21:52:55.047738,00:00:00:00:00:09:36-00:00:00:00:00:0b:42,active,0.924,0.758,0.954,initial_discovery,accept,NORMAL
2026-01-17T21:53:25.047738,00:00:00:00:00:13:46-00:00:00:00:00:0e:10,active,0.887,0.874,0.838,initial_discovery,accept,NORMAL
2026-01-17T21:53:55.047738,00:00:00:00:00:02:47-00:00:00:00:00:05:2,active,0.882,0.709,0.925,initial_discovery,accept,NORMAL
2026-01-17T21:54:25.047738,00:00:00:00:00:02:43-00:00:00:00:00:14:2,active,0.899,0.756,0.773,initial_discovery,accept,NORMAL
2026-01-17T21:54:55.047738,00:00:00:00:00:09:19-00:00:00:00:00:0a:13,active,0.815,0.780,0.973,initial_discovery,accept,NORMAL
2026-01-17T21:55:25.047738,00:00:00:00:00:01:5-00:00:00:00:00:0d:12,active,0.930,0.840,0.776,initial_discovery,accept,NORMAL
2026-01-17T21:55:55.047738,00:00:00:00:00:11:28-00:00:00:00:00:0c:21,active,0.997,0.780,0.904,initial_discovery,accept,NORMAL
2026-01-17T21:56:25.047738,00:00:00:00:00:01:5-00:00:00:00:00:09:45,active,0.819,0.876,0.857,initial_discovery,accept,NORMAL
2026-01-17T21:56:55.047738,00:00:00:00:00:0f:41-00:00:00:00:00:0a:4,active,0.814,0.732,0.973,initial_discovery,accept,NORMAL
2026-01-17T21:57:25.047738,00:00:00:00:00:0c:17-00:00:00:00:00:10:33,active,0.902,0.839,0.795,initial_discovery,accept,NORMAL
2026-01-17T21:57:55.047738,00:00:00:00:00:0d:5-00:00:00:00:00:02:2,active,0.929,0.818,0.919,initial_discovery,accept,NORMAL
2026-01-17T21:58:25.047738,00:00:00:00:00:11:35-00:00:00:00:00:0b:46,active,0.817,0.731,0.948,initial_discovery,accept,NORMAL
2026-01-17T21:58:55.047738,00:00:00:00:00:0e:40-00:00:00:00:00:0c:34,active,0.862,0.777,0.780,initial_discovery,accept,NORMAL
2026-01-17T21:59:25.047738,00:00:00:00:00:02:48-00:00:00:00:00:11:1,active,0.934,0.916,0.859,initial_discovery,accept,NORMAL
2026-01-17T21:59:55.047738,00:00:00:00:00:12:4-00:00:00:00:00:03:34,active,0.936,0.800,0.872,initial_discovery,accept,NORMAL
2026-01-17T22:00:25.047738,00:00:00:00:00:05:22-00:00:00:00:00:14:6,active,0.961,0.830,0.907,initial_discovery,accept,NORMAL
2026-01-17T22:00:55.047738,00:00:00:00:00:11:26-00:00:00:00:00:06:36,active,0.974,0.802,0.873,initial_discovery,accept,NORMAL
2026-01-17T22:01:25.047738,00:00:00:00:00:0a:43-00:00:00:00:00:07:13,active,0.898,0.746,0.966,initial_discovery,accept,NORMAL
2026-01-17T22:01:55.047738,00:00:00:00:00:12:48-00:00:00:00:00:11:47,active,0.823,0.712,0.782,initial_discovery,accept,NORMAL
2026-01-17T22:02:25.047738,00:00:00:00:00:01:30-00:00:00:00:00:03:13,active,0.992,0.882,0.884,initial_discovery,accept,NORMAL
2026-01-17T21:43:18.420942,00:00:00:00:00:05:63-00:00:00:00:00:13:52,quarantined,1.0,0.1,0.1,decoy_hit_link_forgery,reject,DECOY_LINK_HIT
2026-01-17T21:44:03.692533,00:00:00:00:00:11:51-00:00:00:00:00:03:53,quarantined,1.0,0.1,0.1,decoy_hit_link_forgery,reject,DECOY_LINK_HIT
2026-01-17T21:44:01.123169,00:00:00:00:00:08:25-00:00:00:00:00:12:25,quarantined,0.849,0.728,0.834,link_forgery_detected,reject,BEHAVIORAL_ANALYSIS
2026-01-17T21:44:42.020495,00:00:00:00:00:0d:45-00:00:00:00:00:04:38,quarantined,0.822,0.755,0.789,link_forgery_detected,reject,BEHAVIORAL_ANALYSIS
2026-01-17T21:44:25.956781,00:00:00:00:00:0d:45-00:00:00:00:00:04:38,quarantined,0.733,0.710,0.888,link_forgery_detected,reject,BEHAVIORAL_ANALYSIS
2026-01-17T21:45:08.114908,00:00:00:00:00:14:57-00:00:00:00:00:07:58,quarantined,1.0,0.1,0.1,decoy_hit_link_forgery,reject,DECOY_LINK_HIT
2026-01-17T21:45:21.155206,00:00:00:00:00:11:28-00:00:00:00:00:0c:21,quarantined,0.707,0.667,0.729,link_forgery_detected,reject,BEHAVIORAL_ANALYSIS
2026-01-17T21:46:07.850397,00:00:00:00:00:14:26-00:00:00:00:00:10:47,quarantined,0.839,0.688,0.837,link_forgery_detected,reject,BEHAVIORAL_ANALYSIS
2026-01-17T21:46:25.056271,00:00:00:00:00:0f:50-00:00:00:00:00:02:53,quarantined,1.0,0.1,0.1,decoy_hit_link_forgery,reject,DECOY_LINK_HIT
2026-01-17T21:46:20.942022,00:00:00:00:00:09:3-00:00:00:00:00:10:4,quarantined,1.0,0.1,0.1,decoy_hit_link_forgery,reject,DECOY_LINK_HIT
